--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;10/04/2018;0000;28.2;68.25;
83781;11/04/2018;0000;27.7;69;
83781;12/04/2018;0000;28.2;72.25;
83781;13/04/2018;0000;29.8;65.25;
83781;14/04/2018;0000;26.2;74.25;
83781;15/04/2018;0000;20.8;88.25;
83781;16/04/2018;0000;21.2;84.5;
83781;17/04/2018;0000;23.3;75.25;
83781;18/04/2018;0000;25.1;64;
83781;19/04/2018;0000;26.2;62.75;
83781;20/04/2018;0000;25.8;58.5;
83781;21/04/2018;0000;26.3;65.75;
83781;22/04/2018;0000;26.3;74.25;
83781;23/04/2018;0000;26.7;72.5;
83781;24/04/2018;0000;27;68.75;
83781;25/04/2018;0000;28.2;70.75;
83781;26/04/2018;0000;27.8;75.25;
83781;27/04/2018;0000;28.6;72.5;
83781;28/04/2018;0000;28.4;71.5;
83781;29/04/2018;0000;28.4;76;
83781;30/04/2018;0000;29;56.25;
83781;01/05/2018;0000;28;72.5;
83781;02/05/2018;0000;27.5;72.75;
83781;03/05/2018;0000;29;73.5;
83781;04/05/2018;0000;29.5;67.75;
83781;05/05/2018;0000;29.6;67.5;
83781;06/05/2018;0000;25.8;73.5;
83781;07/05/2018;0000;25.4;74;
83781;08/05/2018;0000;24.1;77;
83781;09/05/2018;0000;25;71.25;
83781;10/05/2018;0000;26.6;65;
83781;11/05/2018;0000;27.3;59.25;
83781;12/05/2018;0000;26.4;75;
83781;13/05/2018;0000;23.6;73.5;
83781;14/05/2018;0000;25.6;77;
83781;15/05/2018;0000;22.6;77;
83781;16/05/2018;0000;27.2;70.5;
83781;17/05/2018;0000;24.1;74.75;
83781;18/05/2018;0000;27.5;72.5;
83781;19/05/2018;0000;22.3;76.5;
83781;20/05/2018;0000;21;56.25;
83781;21/05/2018;0000;21.5;65.75;
83781;22/05/2018;0000;24.6;73.5;
83781;23/05/2018;0000;22.2;74.25;
83781;24/05/2018;0000;22.9;76.25;
83781;25/05/2018;0000;22.8;76.75;
83781;26/05/2018;0000;23.3;77;
83781;27/05/2018;0000;24.2;76.75;
